"Rank","Player","Pos","team_signed_with","Age
                        At Signing","Start","End","Yrs","Value","AAV","year"
"52","A.J. Burnett","SP","PHI
                     PHI",36,2014,2014,2,22500000,11250000,2014
"T78","A.J. Burnett","SP","PIT
                     PIT",37,2015,2015,1,8500000,8500000,2015
"T449","A.J. Cole","RP","TOR
                     TOR",28,2021,2021,1,1e+06,1e+06,2021
"T228","A.J. Ellis","C","LAD
                     LAD",31,2013,2013,1,2e+06,2e+06,2013
"183","A.J. Ellis","C","LAD
                     LAD",32,2014,2014,1,3550000,3550000,2014
"133","A.J. Ellis","C","LAD
                     LAD",33,2015,2015,1,4250000,4250000,2015
"T132","A.J. Ellis","C","LAD
                     LAD",34,2016,2016,1,4500000,4500000,2016
"T222","A.J. Ellis","C","MIA
                     MIA",35,2017,2017,1,2500000,2500000,2017
"T385","A.J. Ellis","C","SD
                     SD",36,2018,2018,1,1250000,1250000,2018
"T256","A.J. Griffin","RP","TEX
                     TEX",28,2017,2017,1,2e+06,2e+06,2017
"432","A.J. Minter","RP","ATL
                     ATL",21,2015,2015,1,814300,814300,2015
"T383","A.J. Minter","RP","ATL
                     ATL",27,2021,2021,1,1300000,1300000,2021
"T319","A.J. Minter","RP","ATL
                     ATL",28,2022,2022,1,2200000,2200000,2022
"214","A.J. Minter","RP","ATL
                     ATL",29,2023,2023,1,4287500,4287500,2023
"117","A.J. Minter","RP","ATL
                     ATL",30,2024,2024,1,6220000,6220000,2024
"T71","A.J. Pierzynski","C","CHW
                     CHW",34,2011,2012,2,8e+06,4e+06,2011
"T71","A.J. Pierzynski","C","CHW
                     CHW",34,2011,2012,2,8e+06,4e+06,2012
"T87","A.J. Pierzynski","C","TEX
                     TEX",36,2013,2013,1,7500000,7500000,2013
"T255","A.J. Pierzynski","C","ATL
                     ATL",38,2015,2015,1,2e+06,2e+06,2015
"T195","A.J. Pierzynski","C","ATL
                     ATL",39,2016,2016,1,3e+06,3e+06,2016
"T64","A.J. Pollock","LF","ARI
                     ARI",28,2016,2017,2,10250000,5125000,2016
"T64","A.J. Pollock","LF","ARI
                     ARI",28,2016,2017,2,10250000,5125000,2017
"82","A.J. Pollock","LF","ARI
                     ARI",30,2018,2018,1,7750000,7750000,2018
"12","A.J. Pollock","LF","LAD
                     LAD",31,2019,2023,4,6e+07,1.5e+07,2019
"12","A.J. Pollock","LF","LAD
                     LAD",31,2019,2023,4,6e+07,1.5e+07,2020
"12","A.J. Pollock","LF","LAD
                     LAD",31,2019,2023,4,6e+07,1.5e+07,2021
"12","A.J. Pollock","LF","LAD
                     LAD",31,2019,2023,4,6e+07,1.5e+07,2022
"T155","A.J. Pollock","LF","SEA
                     SEA",35,2023,2023,1,7e+06,7e+06,2023
"T365","A.J. Puckett","P","KC
                     KC",20,2016,2016,1,1200000,1200000,2016
"152","A.J. Puk","RP","OAK
                     OAK",20,2016,2016,1,4069200,4069200,2016
"T251","A.J. Puk","RP","ARI
                     ARI",28,2024,2024,1,1800000,1800000,2024
"T179","A.J. Ramos","RP","MIA
                     MIA",29,2016,2016,1,3400000,3400000,2016
"95","A.J. Ramos","RP","MIA
                     MIA",30,2017,2017,1,6550000,6550000,2017
"67","A.J. Ramos","RP","NYM
                     NYM",31,2018,2018,1,9225000,9225000,2018
"T336","A.J. Reed","1B","HOU
                     HOU",20,2014,2014,1,1350000,1350000,2014
"T491","A.J. Simcox","SS","DET
                     DET",29,2015,2015,1,6e+05,6e+05,2015
"T362","A.J. Vukovich","3B","ARI
                     ARI",18,2020,2020,1,1250000,1250000,2020
"T396","Aaron Altherr","RF","PHI
                     PHI",27,2019,2019,1,1350000,1350000,2019
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2023
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2024
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2025
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2026
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2027
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2028
"66","Aaron Ashby","SP","MIL
                     MIL",24,2023,2029,5,20500000,4100000,2029
"296","Aaron Blair","SP","ARI
                     ARI",20,2013,2013,1,1435000,1435000,2013
"T314","Aaron Bracho","SS","CLE
                     CLE",16,2017,2017,1,1500000,1500000,2017
"T420","Aaron Brooks","SP","STL
                     STL",31,2022,2022,1,1400000,1400000,2022
"T485","Aaron Brown","RP","PHI
                     PHI",32,2014,2014,1,750000,750000,2014
"T49","Aaron Bummer","RP","CHW
                     CHW",26,2020,2026,5,1.6e+07,3200000,2020
"T49","Aaron Bummer","RP","CHW
                     CHW",26,2020,2026,5,1.6e+07,3200000,2021
"T49","Aaron Bummer","RP","CHW
                     CHW",26,2020,2026,5,1.6e+07,3200000,2022
"T49","Aaron Bummer","RP","CHW
                     CHW",26,2020,2026,5,1.6e+07,3200000,2023
