PLAYER (199),POS,AGE,ARMBAT/THROW,PREV WAR,PREV TEAM,PREV AAV,TYPE,MARKET VALUE,WAR
Max Scherzer,SP,40.2,R,0.43,TEX,"$43,333,333.00",UFA,Market Value,0.43
Justin Verlander,SP,41.7,R,-0.37,HOU,"$43,333,333.00",UFA,Market Value,-0.37
Juan Soto,RF,26,L,7.91,NYY,"$31,000,000.00",UFA,Market Value,7.91
Blake Snell,SP,31.9,L,2.06,SF,"$31,000,000.00",UFA,Market Value,2.06
Paul Goldschmidt,1B,37.2,R,1.26,STL,"$26,000,000.00",UFA,Market Value,1.26
Teoscar Hernandez,LF,32,R,4.29,LAD,"$23,500,000.00",UFA,Market Value,4.29
Patrick Corbin,SP,35.2,L,-0.87,WSH,"$23,333,333.00",UFA,Market Value,-0.87
Pete Alonso,1B,29.9,R,2.56,NYM,"$20,500,000.00",UFA,Market Value,2.56
Alex Bregman,3B,30.6,R,4.12,HOU,"$20,000,000.00",UFA,Market Value,4.12
Charlie Morton,SP,41,R,1.09,ATL,"$20,000,000.00",UFA,Market Value,1.09
Anthony Rizzo,1B,35.2,L,0.19,NYY,"$20,000,000.00",UFA,Market Value,0.19
Michael Conforto,LF,31.7,L,1.34,SF,"$18,000,000.00",UFA,Market Value,1.34
Nathan Eovaldi,SP,34.7,R,2.29,TEX,"$17,000,000.00",UFA,Market Value,2.29
Josh Bell,1B,32.2,S,-0.93,ARI,"$16,500,000.00",UFA,Market Value,-0.93
Kenley Jansen,RP,37.1,R,1.34,BOS,"$16,000,000.00",UFA,Market Value,1.34
Frankie Montas,SP,31.6,R,0.57,MIL,"$16,000,000.00",UFA,Market Value,0.57
Corbin Burnes,SP,30,R,3.42,BAL,"$15,637,000.00",UFA,Market Value,3.42
Max Fried,SP,30.8,L,3.44,ATL,"$15,000,000.00",UFA,Market Value,3.44
Ryan Pressly,RP,35.8,R,0.33,HOU,"$15,000,000.00",VESTED / $14.0M,Market Value,0.33
Gleyber Torres,2B,27.8,R,1.79,NYY,"$14,200,000.00",UFA,Market Value,1.79
Yoan Moncada,3B,29.4,S,0.26,CHW,"$14,000,000.00",UFA,Market Value,0.26
Jack Flaherty,SP,29,R,2.37,LAD,"$14,000,000.00",UFA,Market Value,2.37
Sean Manaea,SP,32.8,L,3.01,NYM,"$14,000,000.00",UFA,Market Value,3.01
Mark Canha,LF,35.7,R,0.57,SF,"$13,250,000.00",UFA,Market Value,0.57
Shane Bieber,SP,29.4,R,0.74,CLE,"$13,125,000.00",UFA,Market Value,0.74
Jose Quintana,SP,35.8,L,2.53,NYM,"$13,000,000.00",UFA,Market Value,2.53
Kyle Gibson,SP,37,R,0.95,STL,"$13,000,000.00",UFA,Market Value,0.95
Luis Severino,SP,30.7,R,1.61,NYM,"$13,000,000.00",UFA,Market Value,1.61
Nick Martinez,SP,34.2,R,3.98,CIN,"$13,000,000.00",UFA,Market Value,3.98
Justin Turner,DH,39.9,R,0.27,SEA,"$13,000,000.00",UFA,Market Value,0.27
Charlie Blackmon,DH,38.3,L,0.63,COL,"$13,000,000.00",UFA / Retired,Market Value,0.63
Andrew Heaney,SP,33.4,L,0.83,TEX,"$12,500,000.00",UFA,Market Value,0.83
Ross Stripling,RP,34.9,R,-1.09,ATH,"$12,500,000.00",UFA,Market Value,-1.09
Joc Pederson,DH,32.5,L,2.85,ARI,"$12,500,000.00",UFA,Market Value,2.85
Willy Adames,SS,29.2,R,3.2,MIL,"$12,250,000.00",UFA,Market Value,3.2
Anthony DeSclafani,SP,34.5,R,,MIN,"$12,000,000.00",UFA,Market Value,
Yusei Kikuchi,SP,33.3,L,0.05,HOU,"$12,000,000.00",UFA,Market Value,0.05
J.D. Martinez,DH,37.2,R,0.53,NYM,"$12,000,000.00",UFA,Market Value,0.53
Anthony Santander,RF,30,S,2.93,BAL,"$11,700,000.00",UFA,Market Value,2.93
David Robertson,RP,39.6,R,1.75,TEX,"$11,500,000.00",UFA,Market Value,1.75
Lance Lynn,SP,37.5,R,0.3,STL,"$11,000,000.00",UFA,Market Value,0.3
Christian Walker,1B,33.6,R,2.56,ARI,"$10,900,000.00",UFA,Market Value,2.56
Harrison Bader,CF,30.4,R,1,NYM,"$10,500,000.00",UFA,Market Value,1
Aroldis Chapman,RP,36.7,L,0.41,PIT,"$10,500,000.00",UFA,Market Value,0.41
James McCann,C,34.3,R,0.76,BAL,"$10,150,000.00",UFA,Market Value,0.76
Alex Cobb,SP,37.1,R,0.25,CLE,"$10,000,000.00",UFA,Market Value,0.25
Daniel Bard,RP,39.3,R,,COL,"$9,500,000.00",UFA,,
Manuel Margot,RF,30.1,R,-0.73,TB,"$9,500,000.00",UFA,Market Value,-0.73
Drew Smyly,RP,35.3,L,0.04,CHC,"$9,500,000.00",UFA,Market Value,0.04
Matt Moore,RP,35.3,L,-0.46,LAA,"$9,000,000.00",UFA,Market Value,-0.46
Alex Verdugo,LF,28.4,L,0.68,NYY,"$8,700,000.00",UFA,Market Value,0.68
Brandon Drury,2B,32.2,R,-2.02,LAA,"$8,500,000.00",UFA,Market Value,-2.02
Wade Miley,SP,37.9,L,-0.11,MIL,"$8,500,000.00",UFA,,-0.11
Alex Wood,SP,33.8,L,-0.19,ATH,"$8,500,000.00",UFA,Market Value,-0.19
Walker Buehler,SP,30.2,R,-1.29,LAD,"$8,025,000.00",UFA,Market Value,-1.29
Travis d'Arnaud,C,35.8,R,1.17,ATL,"$8,000,000.00",UFA,Market Value,1.17
Blake Treinen,RP,36.3,R,1.43,LAD,"$8,000,000.00",UFA,Market Value,1.43
Kendall Graveman,RP,33.8,R,,HOU,"$8,000,000.00",UFA,Market Value,
Joe Kelly,RP,36.4,R,-0.43,LAD,"$8,000,000.00",UFA,Market Value,-0.43
Martín Pérez,SP,33.6,L,-0.07,SD,"$8,000,000.00",UFA,Market Value,-0.07
Nick Pivetta,SP,31.7,R,1.79,BOS,"$7,500,000.00",UFA,Market Value,1.79
Paul Sewald,RP,34.4,R,0.19,ARI,"$7,350,000.00",UFA,Market Value,0.19
Eloy Jimenez,LF,27.9,R,-0.52,BAL,"$7,166,667.00",UFA,Market Value,-0.52
Max Kepler,RF,31.8,L,0.95,MIN,"$7,000,000.00",UFA,Market Value,0.95
Ha-seong Kim,2B,29,R,2.56,SD,"$7,000,000.00",UFA,Market Value,2.56
James Paxton,SP,36,L,0.17,BOS,"$7,000,000.00",UFA,Market Value,0.17
Jake Junis,RP,32.1,R,0.62,CIN,"$7,000,000.00",UFA,Market Value,0.62
Ty France,1B,30.2,R,-0.19,CIN,"$6,775,000.00",UFA / non-tender,Market Value,-0.19
Chris Martin,RP,38.4,R,0.21,BOS,"$6,750,000.00",UFA,Market Value,0.21
Carlos Estevez,RP,31.8,R,1.57,PHI,"$6,750,000.00",UFA,Market Value,1.57
Trevor Williams,SP,32.5,R,2.55,WSH,"$6,500,000.00",UFA,Market Value,2.55
Kyle Farmer,SS,34.2,R,-0.32,MIN,"$6,300,000.00",UFA,Market Value,-0.32
A.J. Minter,RP,31.2,L,1.08,ATL,"$6,220,000.00",UFA,Market Value,1.08
Clay Holmes,RP,31.6,R,0.68,NYY,"$6,000,000.00",UFA,Market Value,0.68
Keynan Middleton,RP,31.2,R,,STL,"$6,000,000.00",UFA,Market Value,
Tyler O'Neill,LF,29.3,R,2.64,BOS,"$5,850,000.00",UFA,Market Value,2.64
Max Stassi,C,33.6,R,,CHW,"$5,833,333.00",UFA,,
Tommy Kahnle,RP,35.2,R,0.78,NYY,"$5,750,000.00",UFA,Market Value,0.78
Luke Jackson,RP,33.2,R,-0.26,ATL,"$5,750,000.00",UFA,Market Value,-0.26
Tanner Scott,RP,30.2,L,3.35,SD,"$5,700,000.00",UFA,Market Value,3.35
Yimi Garcia,RP,34.2,R,0.69,SEA,"$5,500,000.00",UFA,Market Value,0.69
Carlos Santana,1B,38.6,S,2.49,MIN,"$5,250,000.00",UFA,Market Value,2.49
Danny Jansen,C,29.5,R,0.6,BOS,"$5,200,000.00",UFA,Market Value,0.6
Jorge Polanco,2B,31.3,S,1.23,SEA,"$5,150,000.00",UFA,Market Value,1.23
Brooks Raley,RP,36.3,L,0.5,NYM,"$5,000,000.00",UFA,Market Value,0.5
Will Smith,RP,35.3,L,-0.85,KC,"$5,000,000.00",UFA,Market Value,-0.85
Joey Gallo,1B,30.9,L,0.28,WSH,"$5,000,000.00",UFA,Market Value,0.28
Andrew McCutchen,DH,38.1,R,0.8,PIT,"$5,000,000.00",UFA,Market Value,0.8
Jason Heyward,RF,35.2,L,0.82,HOU,"$5,000,000.00",UFA,Market Value,0.82
Andrew Chafin,RP,34.3,L,0.49,TEX,"$4,750,000.00",UFA,Market Value,0.49
Colin Rea,SP,34.3,R,1.22,MIL,"$4,500,000.00",UFA,Market Value,1.22
Kirby Yates,RP,37.6,R,3.34,TEX,"$4,500,000.00",UFA,Market Value,3.34
Adam Frazier,2B,32.8,L,0.3,KC,"$4,500,000.00",UFA,Market Value,0.3
Adam Ottavino,RP,38.9,R,-0.02,NYM,"$4,500,000.00",UFA,Market Value,-0.02
Michael Lorenzen,SP,32.8,R,1.48,KC,"$4,500,000.00",UFA,Market Value,1.48
Luis Garcia,RP,37.8,R,0.32,BOS,"$4,250,000.00",UFA,Market Value,0.32
Austin Slater,LF,31.8,R,-0.31,BAL,"$4,000,000.00",UFA,Market Value,-0.31
Enrique Hernandez,SS,33.2,R,1.31,LAD,"$4,000,000.00",UFA,Market Value,1.31
Ryne Stanek,RP,33.2,R,-0.42,NYM,"$4,000,000.00",UFA,Market Value,-0.42
Ryan Yarbrough,RP,32.8,L,0.36,TOR,"$3,900,000.00",UFA,Market Value,0.36
José Urquidy,SP,29.5,R,,HOU,"$3,750,000.00",UFA,,
Jose Leclerc,RP,30.8,R,-0.01,TEX,"$3,687,500.00",UFA,Market Value,-0.01
Luke Maile,C,33.8,R,-0.36,CIN,"$3,500,000.00",UFA,Market Value,-0.36
John Means,SP,31.5,L,0.74,BAL,"$3,325,000.00",UFA,,0.74
Caleb Thielbar,RP,37.8,L,-0.58,MIN,"$3,225,000.00",UFA,Market Value,-0.58
